书籍ID,书籍名称,书籍描述,稀有度
2000468,很棒的情诗,阅读本诗后，你的魅力+2,2
2000469,荒唐的情诗,如果激情褪去，你在这首诗里只能看到一派胡言。但当事情发生的时候，它就是那混沌的野火，让你们产生可以开辟新世界的幻觉。【在家行淫】仪式中，使用本诗，可以让不具备激情的盟友也能够接纳你一次。,3
2000470,不灭的情诗,阅读本诗后，你的魅力+3,3
2000471,宽恕的情诗,最伟大的爱是什么？现在你最好祈祷是原谅。可用于消除妻子的不满，仅限一次。,4
2000472,伟大的爱情,阅读本诗后，你的魅力+4。,4
2000473,有趣的史诗,阅读本诗后，你的智慧+1。,1
2000474,不凡的史诗,阅读本诗后，你的智慧+1，社交+1。,2
2000475,追忆过去荣光,阅读本诗后，你的魅力+1，社交+1。非贵族角色阅读后，会成为贵族。,3
2000476,伟大的史诗,阅读本诗后，你的智慧+2，社交+2。,3
2000477,天命所归,一首关于改朝换代的史诗。放在平时，念到一半就会被抓去杀头，但在适当的时候却能够为自己的行动赋予大义。在进行谋反事件时或有奇效。此后，无论王朝如何更替，兵戈兴起又化作灰烬，这首诗都将永远流传。,4
2000478,历史洪流,阅读本诗后，你的智慧+3，社交+3。,4
2000479,谐音谩骂,阅读本诗后，你的战斗+1。,1
2000480,精巧的讽刺,阅读本诗后，你的战斗+1，隐匿+1。,2
2000481,挑战歌,阅读本诗后，你的战斗+1，隐匿+1，魅力+1。,3
2000482,千夫所指,这是一篇决斗前的宣言，它是如此的精彩，以至于可以让您的对手不战而降……甚至可能气死。可以作为普通情报使用，如果用在决斗中，决斗将必然胜利。,4
2000483,惊人的嘲讽,阅读本诗后，你的战斗+1，隐匿+1，魅力+1，社交+1。,4
2000484,魔幻诗歌,阅读本诗后，你的魔力+1。,1
2000485,诡异的幻听,阅读本诗后，你的魔力+2。,2
2000486,恐怖的回音,阅读本诗后，你的魔力+3。,3
2000487,黑暗根源,阅读本诗后，可以让一个没有黑暗知识的人获得黑暗知识和魔力+3。如果已有黑暗知识，获得魔力+6。,4
2000488,伟大的黑暗,阅读本诗后，你的魔力+4。,4
2000489,召唤邪物仪式图纸,一张邪恶的仪式设计图，记载着召唤邪物的仪式。,4
2000490,武器附魔仪式图纸,一张邪恶的仪式设计图，记载着用血肉给武器附魔的仪式。,3
2000491,魔力增长仪式图纸,一张邪恶的仪式设计图，记载着提高魔力的仪式。,3
2000538,启蒙之书,用最通俗的话语为人们打开了思维宫殿的大门。阅读本书后，你可以获得智慧+1。,1
2000544,星灵咒文残卷,神秘文字写就的书籍，一本残卷。,4
2000547,蠢妓女和活恶棍,阅读本书后，你的生存+1,1
2000548,孤女复仇记,阅读本书后，你的智慧+1，生存+1,2
2000549,复仇的滋味,阅读本书后，你的体魄+2,2
2000550,复仇的滋味,阅读本书后，你的智慧+2,2
2000551,复仇的滋味,阅读本书后，你的隐匿+2,2
2000552,血之墙,阅读本书后，你的魔力+2，体魄+1,3
2000576,小圆的日记,记下了叛逃之后的种种痛苦和甜蜜。阅读本书后，你的生存+1,1
2000671,屠龙之书,阿迪莱家族传承下来的书籍，据说记录着关于巨龙的各种秘密。,3
2000704,帝国勇士排行榜705706,此书由娜依拉根据亲身经历编撰而成，包含多方面犀利的点评和不为常人所知的密辛。不建议任何未成年人阅读，也不建议任何人在妻子的陪伴下阅读。,1
2000707,《黄沙的背后》,讲述一个虔信徒在沙漠中游走的故事。第一次阅读本书后，你可以获得智慧+1。阅读能够开启无尽黄沙冒险。,3
2000708,《呼啸的山风》,讲述一座风暴终年不断的山谷的故事。第一次阅读本书后，你可以获得生存+1。阅读能够开启狂风峡谷冒险。,3
2000709,《夺宝奇兵》,讲述冒险者深入神庙夺宝的故事。第一次阅读本书后，你可以获得隐匿+1。阅读能够开启暗影神庙冒险。,3
2000710,《妖精国游记》,讲述误入森林深处的樵夫遇到妖精的故事。第一次阅读本书后，你可以获得社交+1。阅读能够开启妖精森林冒险。,3
2000757,丰产的仪式图纸,记载着某种神秘的祭祀仪式，只有足够古老的贵族家族才知道相关的知识。,3
2000758,内宅的仪式图纸,记载着某种神秘的祭祀仪式，只有足够古老的贵族家族才知道相关的知识。,3
2000759,剑盾的仪式图纸,       记载着某种神秘的祭祀仪式，只有足够古老的贵族家族才知道相关的知识。,3
2000797,老花园,一本优美的诗集，描述了诗人踯躅在残败的花园中，追思曾经在此处发生的种种美妙际遇的事。阅读本书后，你可以获得魅力+2，隐匿+1。你至少需要3点智慧才能阅读。,3
2000798,列王纪,关于这片土地曾经有过的一些王者的回忆，为了避免惹麻烦，一些名字被涂黑了。阅读本书后，你可以获得智慧+1，社交+1。,2
2000799,等待太久,一本优美而锋利的诗集，讲述了女诗人在远离故土的日子里，如何以仇恨支撑着生活的勇气。阅读本书后，你可以获得隐匿+1，战斗+1。,2
2000800,不朽者之吻,一本奇怪的书，内文一片空白，但在书页上有许多烧焦的小洞。如果把小洞们都捏合在一起，书页就会弯曲成奇怪的形状……过去的密教徒似乎会以这种方式来传递暗号。阅读本书后，你可以获得隐匿+1，魔力+1。你至少需要4点智慧才能阅读。,2
2000801,雨林！雨林！,一本游记，讲述了前往被称为“雨林”的地方冒险的故事，据说那地方到处都是树，猴子比人还多……应该只是杜撰而已吧？。阅读本书后，你可以获得生存+1，隐匿+1。,2
2000802,女主人的金拖鞋,前朝很流行的一本爱情小说，讲述了一位高贵的女士为了勾引一个年轻军人，故意遗落了宝贵的金拖鞋的故事……这贵妇人还真挺舍得下本儿的。阅读本书后，你可以获得魅力+1。,1
2000803,荒野集,讲述了荒原中的人们如何努力生存、如何把命运交给大自然的故事。里面提到了许多就地取材的美食。阅读本书后，你可以获得生存+3。,3
2000804,白鼬的宫廷,讲述了一个荒诞不经的故事，一群白鼬攻占了宫廷，推选出了最大的那只做苏丹……这书怎么还没被禁？阅读本书后，你可以获得智慧+2，社交+1。,3
2000805,弹球游戏,讲述了一个幻想故事，故事中的国度以“弹球游戏”作为官员考核和晋升的标准，越会弹弹球的人，爬的越高……你小时候也很喜欢玩弹球。阅读本书后，你可以获得魔力+1，智慧+1。,2
2000806,哲百集,全称是《关于历代哲学家思辨之事总结与分析之后所得到的百个核心问题全集》——应该不需要介绍书籍内容了。阅读本书后，你可以获得智慧+4。你至少需要5点智慧才能阅读。,4
2000807,不要凝视群星,一本奇怪的书，全篇只有一句话，“不要凝视群星”，这句话被反复写了无数遍。从装帧看，这似乎是本很古老的书……或许是过去星灵崇拜还盛行于这片大陆时的产物？阅读本书后，你可以获得魔力+3，灵视+1。,3
2000808,蜘蛛的网,一本童话书，讲述了一只小蜘蛛努力地用生命中最后的时光帮助好朋友们留下美好回忆……整个书店里，可能就这本书看起来比较适合给孩子读。,2
2000855,黄沙之战,阅读本书后，你可以获得战斗+3。,3
2000856,石中火,阅读本书后，你可以获得魔力+3。,3
2000857,曲直迷思,阅读本书后，你可以获得智慧+3。,3
2000945,《佣兵的笔记》,写满了佣兵们冒险经验的书籍，阅读后可以你可以获得体魄+1，生存+1，战斗+1。,2
2000998,建造图录,一本已经覆灭的故国建造皇宫时使用的图录，说不定里面会有些有趣的秘密。阅读本书后，你可以获得生存+1，智慧+1。,1
2000999,花园景观残本,一本讲述了皇家园林建造形制的书。阅读本书后，你可以获得生存+1。,1
2001000,寝食单,这根本不算是书，应该说一大叠旧文件，上面记录了故国王室御厨采购原材料的记录，以及偷工减料的行为都是怎么被发现的。阅读本书后，你可以获得生存+1，隐匿+1。,1
2001054,小狗与月亮之歌,哈桑以新月小狗为灵感创作的诗歌，阅读本诗后，可以得到一个宠物装备槽,1
2001060,梦中花园,一位古代术士的著作，通篇描述了开悟之人的种种特征，其中最突出的一条则是在梦境中构筑一座听凭自己装点的虚构花园的能力。这位作者似乎在本书完成之后自杀了。你至少需要5点智慧才能阅读。阅读本书后，你可以获得灵视+1。,4
2001066,奈费勒的笔记,你从奈费勒的尸体上搜出来的笔记本，记载着一些不为人知的秘密。,4
2001150,《忠贞不渝》,一本讲述关于忠诚与背叛的恐怖故事集，虽然使用了历史元素，但显然有很多虚构成分。,3
2001165,《群蛇山谷》,阅读本书后，你可以获得魅力+1。首次阅读能够开启毒蛇神殿冒险。,3
2001170,《天牛之血》,这本古卷记载着一则流传自上古的传说：群山之中，有一位神明曾借助某物成功地复生了自己的爱人。第一次阅读本书后，你可以获得体魄+1。阅读能够开启群山深处冒险。,3
2001189,此岸彼岸,描绘着彼岸图景的狂热书籍，里面文字颠倒疯狂，聪明人都不会愿意读它。你需要智慧少于3点才能阅读，阅读本书后，你可以获得魔力+3。,3
2001198,纹身图样,每一页都绘制着奇异的纹身图样。阅读本书后，你可以获得灵视+2。,2
2001209,命运诗集,记录了一些奇怪的诗歌片段，似乎都与梦境和呓语有关。随着收集的诗歌越多，力量也越强大。,4
2001230,难解之意,一本讲述远古密教探索精神领域的种种手段的书，奇怪的是似乎只有你能阅读。,4
2001234,绳索的锤炼,这本书写得非常难懂，而且每一页上都有奇怪的符号，似乎是为了去除文字中的诡异力量而画。阅读本书后，你可以获得魔力+2。,3
2001247,藏木于林,这本书妙趣横生地讲述了历代著名藏书家事迹，还提到了许多梦幻珍本的下落。阅读本书后，你可以获得隐匿+2，智慧+1。,3
2001248,不合时宜的思想,关于国家的体制，何为正统政体，何为变形的政体；关于君主的权威，何为正当威能，何为变形的威能。阅读本书后，你可以获得社交+1，隐匿+2。,3
2001249,印刷方略,简述了用泥模做字版来印刷的技术，以及这种技术传入帝国的历史。阅读本书后，你可以获得智慧+1。,1
2001251,碎肉与骨粉,这篇简短的故事讲述了贫民窟的母亲如何用碎肉和骨粉为自己的孩子烹制“贵族般的”大餐。阅读本书后，你可以获得生存+2。,2
2001252,迷宫之心,这本书详述了历史上所有知名的迷宫，还附有大量复杂的手绘图，甚至有迷宫走法教学……想来这位作者是个彻头彻尾的迷宫迷。阅读本书后，你可以获得生存+1，魔力+1。,2
2001253,无人知晓的地方,这本诗集由数位匿名诗人的作品组合而成。他们都是业余的写作者，平日里都有各种繁重的工作。阅读本书后，你可以获得社交+2，生存+1。,3
2001254,小星星,这本诗集似乎是《无人知晓的地方》的作者的孩子们一起写的。阅读本书后，你可以获得智慧+1，魅力+1。,2
2001255,批评他人的尺度,一本从历史角度出发的哲思集，思辨了官员权力的界限，以及民意与权力之间的关系。阅读本书后，你可以获得智慧+1，社交+2。,3
2001256,伊萨尔远征记,讲述了古代异国的王公如何在荣誉和战利品的驱动下鲁莽远征，又如何被囚禁，他美丽高贵的妻子如何哀泣，他衰老正直的父亲如何奔忙；最后他又如何逃脱的故事。阅读本书后，你可以获得战斗+2，魅力+1。,3
2001257,山居往事,一位出身高贵的老妇的回忆录，讲述了她的家族随着王朝沉浮的历史。阅读本书后，你可以获得社交+2。,2
2001258,垂钓者与我,阿萨尔的自传，讲述了他为何、如何开设书店的故事。阅读本书后，你可以获得社交+1，体魄+1。,2
2001259,印刷详解,以在帝国流传多年的《印刷方略》为起点，进一步探讨印刷术的种种进步、种种革新。阅读本书后，你可以获得生存+2，智慧+1。,3
2001260,宇宙之弦,这本书简直像是疯子的呓语，他说世界不是由元素和乙太构成的，而是由一个个小到看不见的“弦”组成。阅读本书后，你可以获得魔力+3，智慧+1。,4
